"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "C" 0.04 -0.86625 0.71125 1 1 4000 1 5 0.340731293541596 5 1000 22336 5
"2" "C" 0.004 -0.20625 0.2575 0 1 4000 1 5 1.35673555887835 5 1000 20263 5
"3" "C" 0.04 -0.4125 0.835 1 1 4000 1 5 0.180323554131281 5 1000 21792 5
"4" "C" 0.004 -0.33 0.46375 0 1 4000 1 5 0.768409665060492 5 1000 20423 5
"5" "C" 0.04 -0.9075 0.9175 1 1 4000 1 5 0.0861026990534116 5 1000 22396 5
"6" "C" 0.04 -0.45375 0.7525 0 1 4000 1 5 0.284354282359106 5 1000 21837 5
"7" "C" 0.004 -0.2475 0.34 1 1 4000 1 5 1.07880966137193 5 1000 20318 5
"8" "C" 0.004 -0.2475 0.95875 1 1 4000 1 5 0.042124926300671 5 1000 20348 5
"9" "C" 0.04 -0.0825 0.13375 1 1 4000 1 5 2.01178289320602 5 1000 21358 5
"10" "C" 0.04 -0.78375 0.38125 1 1 4000 1 5 0.964299951060516 5 1000 22220 5
"11" "C" 0.004 -0.12375 1 1 1 4000 1 5 0 5 1000 20200 5
"12" "C" 0.004 -0.33 0.4225 1 1 4000 1 5 0.861565832184908 5 1000 20422 5
"13" "C" 0.004 -0.165 0.05125 1 1 4000 1 5 2.97103966096362 5 1000 20204 5
"14" "C" 0.04 -0.12375 0.01 1 1 4000 1 5 4.60517018598809 5 1000 21402 5
"15" "C" 0.004 -0.20625 0.29875 1 1 4000 1 5 1.20814817573642 5 1000 20266 5
"16" "C" 0.004 -0.86625 0.62875 1 1 4000 1 5 0.464021557568188 5 1000 21082 5
"17" "C" 0.004 -0.165 0.38125 0 1 4000 1 5 0.964299951060516 5 1000 20219 5
"18" "C" 0.004 -0.66 0.21625 0 1 4000 1 5 1.53132013317015 5 1000 20811 5
"19" "C" 0.04 -0.94875 0.01 0 1 4000 1 5 4.60517018598809 5 1000 22401 5
"20" "C" 0.004 -0.20625 0.0925 1 1 4000 1 5 2.38054663446376 5 1000 20256 5
"21" "C" 0.004 -0.33 0.9175 1 1 4000 1 5 0.0861026990534116 5 1000 20446 5
"22" "C" 0.004 -0.28875 0.62875 1 1 4000 1 5 0.464021557568188 5 1000 20382 5
"23" "C" 0.004 -0.04125 0.9175 1 1 4000 1 5 0.0861026990534116 5 1000 20096 5
"24" "C" 0.04 -0.45375 0.95875 1 1 4000 1 5 0.042124926300671 5 1000 21848 5
"25" "C" 0.004 -0.165 0.29875 1 1 4000 1 5 1.20814817573642 5 1000 20216 5
"26" "C" 0.04 -0.33 0.71125 1 1 4000 1 5 0.340731293541596 5 1000 21686 5
"27" "C" 0.04 -0.12375 0.505 1 1 4000 1 5 0.683196849706777 5 1000 21426 5
"28" "C" 0.04 -0.825 0.4225 0 1 4000 1 5 0.861565832184908 5 1000 22271 5
"29" "C" 0.004 -0.2475 0.87625 1 1 4000 1 5 0.132103840633337 5 1000 20344 5
"30" "C" 0.004 -0.2475 0.13375 0 1 4000 1 5 2.01178289320602 5 1000 20307 5
"31" "C" 0.04 -0.12375 0.29875 0 1 4000 1 5 1.20814817573642 5 1000 21415 5
