"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "P" 0.004 -0.66 0.67 1 1 4000 1 5 0.400477566597125 5 1000 23334 5
"2" "P" 0.004 -0.4125 0.2575 1 1 4000 1 5 1.35673555887835 5 1000 23014 5
"3" "P" 0.04 -0.04125 0.5875 1 1 4000 1 5 0.531879032963823 5 1000 23830 5
"4" "P" 0.004 -0.53625 0.46375 1 1 4000 1 5 0.768409665060492 5 1000 23174 5
"5" "P" 0.004 -0.99 1 0 1 4000 1 5 0 5 1000 23749 5
"6" "P" 0.04 -0.04125 0.4225 0 1 4000 1 5 0.861565832184908 5 1000 23821 5
"7" "P" 0.04 -0.37125 0.835 1 1 4000 1 5 0.180323554131281 5 1000 24242 5
"8" "P" 0.04 -0.66 0.175 0 1 4000 1 5 1.74296930505862 5 1000 24559 5
"9" "P" 0.04 -0.33 0.0925 1 1 4000 1 5 2.38054663446376 5 1000 24156 5
"10" "P" 0.04 -0.12375 0.05125 0 1 4000 1 5 2.97103966096362 5 1000 23903 5
"11" "P" 0.04 -0.66 0.71125 0 1 4000 1 5 0.340731293541596 5 1000 24585 5
"12" "P" 0.004 -0.20625 0.7525 0 1 4000 1 5 0.284354282359106 5 1000 22787 5
"13" "P" 0.04 -0.37125 0.79375 1 1 4000 1 5 0.230986728775236 5 1000 24240 5
"14" "P" 0.004 -0.94875 0.7525 0 1 4000 1 5 0.284354282359106 5 1000 23687 5
"15" "P" 0.004 -0.04125 0.05125 1 1 4000 1 5 2.97103966096362 5 1000 22554 5
"16" "P" 0.04 -0.7425 0.67 1 1 4000 1 5 0.400477566597125 5 1000 24684 5
"17" "P" 0.004 -0.495 0.13375 1 1 4000 1 5 2.01178289320602 5 1000 23108 5
"18" "P" 0.04 -0.53625 0.54625 1 1 4000 1 5 0.604678532572337 5 1000 24428 5
"19" "P" 0.04 -0.33 0.95875 1 1 4000 1 5 0.042124926300671 5 1000 24198 5
"20" "P" 0.04 -0.0825 0.62875 1 1 4000 1 5 0.464021557568188 5 1000 23882 5
"21" "P" 0.004 -0.45375 0.01 1 1 4000 1 5 4.60517018598809 5 1000 23052 5
"22" "P" 0.004 -0.825 0.05125 0 1 4000 1 5 2.97103966096362 5 1000 23503 5
"23" "P" 0.004 -0.78375 0.5875 0 1 4000 1 5 0.531879032963823 5 1000 23479 5
"24" "P" 0.004 -0.20625 0.0925 1 1 4000 1 5 2.38054663446376 5 1000 22756 5
"25" "P" 0.04 -0.33 0.13375 1 1 4000 1 5 2.01178289320602 5 1000 24158 5
"26" "P" 0.04 -0.495 0.87625 0 1 4000 1 5 0.132103840633337 5 1000 24393 5
"27" "P" 0.04 -0.78375 0.62875 1 1 4000 1 5 0.464021557568188 5 1000 24732 5
"28" "P" 0.04 -0.99 0.79375 1 1 4000 1 5 0.230986728775236 5 1000 24990 5
"29" "P" 0.04 -0.12375 0.0925 1 1 4000 1 5 2.38054663446376 5 1000 23906 5
"30" "P" 0.004 -0.04125 0.13375 1 1 4000 1 5 2.01178289320602 5 1000 22558 5
"31" "P" 0.004 -0.165 0.05125 1 1 4000 1 5 2.97103966096362 5 1000 22704 5
"32" "P" 0.04 -0.5775 0.01 1 1 4000 1 5 4.60517018598809 5 1000 24452 5
"33" "P" 0.04 -0.45375 0.34 0 1 4000 1 5 1.07880966137193 5 1000 24317 5
"34" "P" 0.004 -0.0825 0.62875 0 1 4000 1 5 0.464021557568188 5 1000 22631 5
"35" "P" 0.004 -0.4125 0.46375 0 1 4000 1 5 0.768409665060492 5 1000 23023 5
"36" "P" 0.004 -0.495 0.67 1 1 4000 1 5 0.400477566597125 5 1000 23134 5
"37" "P" 0.04 -0.70125 0.835 0 1 4000 1 5 0.180323554131281 5 1000 24641 5
"38" "P" 0.004 -0.94875 0.0925 0 1 4000 1 5 2.38054663446376 5 1000 23655 5
"39" "P" 0.004 -0.61875 0.05125 1 1 4000 1 5 2.97103966096362 5 1000 23254 5
"40" "P" 0.04 -0.04125 0.05125 1 1 4000 1 5 2.97103966096362 5 1000 23804 5
"41" "P" 0.004 -0.78375 0.38125 0 1 4000 1 5 0.964299951060516 5 1000 23469 5
"42" "P" 0.04 -0.9075 0.01 0 1 4000 1 5 4.60517018598809 5 1000 24851 5
"43" "P" 0.004 -0.70125 0.21625 1 1 4000 1 5 1.53132013317015 5 1000 23362 5
"44" "P" 0.004 -0.78375 0.46375 1 1 4000 1 5 0.768409665060492 5 1000 23474 5
"45" "P" 0.004 -0.86625 0.05125 0 1 4000 1 5 2.97103966096362 5 1000 23553 5
"46" "P" 0.004 -0.37125 0.71125 0 1 4000 1 5 0.340731293541596 5 1000 22985 5
"47" "P" 0.004 -0.53625 0.54625 0 1 4000 1 5 0.604678532572337 5 1000 23177 5
"48" "P" 0.004 -0.33 0.9175 1 1 4000 1 5 0.0861026990534116 5 1000 22946 5
"49" "P" 0.04 -0.37125 0.175 1 1 4000 1 5 1.74296930505862 5 1000 24210 5
"50" "P" 0.04 -0.28875 0.38125 1 1 4000 1 5 0.964299951060516 5 1000 24120 5
"51" "P" 0.004 -0.12375 0.34 0 1 4000 1 5 1.07880966137193 5 1000 22667 5
"52" "P" 0.004 -0.86625 0.175 0 1 4000 1 5 1.74296930505862 5 1000 23559 5
"53" "P" 0.04 -0.20625 0.95875 0 1 4000 1 5 0.042124926300671 5 1000 24047 5
"54" "P" 0.04 -0.37125 0.62875 0 1 4000 1 5 0.464021557568188 5 1000 24231 5
"55" "P" 0.04 -0.20625 0.835 1 1 4000 1 5 0.180323554131281 5 1000 24042 5
"56" "P" 0.004 -0.66 0.34 1 1 4000 1 5 1.07880966137193 5 1000 23318 5
"57" "P" 0.04 -0.94875 0.9175 0 1 4000 1 5 0.0861026990534116 5 1000 24945 5
"58" "P" 0.04 -0.45375 0.95875 0 1 4000 1 5 0.042124926300671 5 1000 24347 5
"59" "P" 0.004 -0.37125 1 0 1 4000 1 5 0 5 1000 22999 5
