"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "W" 0.02 -0.4125 0.0925 1 1 8000 1 5 2.38054663446376 5 1000 19628 5
"2" "W" 0.002 -0.4125 0.46375 1 1 8000 1 5 0.768409665060492 5 1000 19012 5
"3" "W" 0.02 -0.45375 0.87625 1 1 8000 1 5 0.132103840633337 5 1000 19672 5
"4" "W" 0.02 -0.20625 0.21625 1 1 8000 1 5 1.53132013317015 5 1000 19506 5
"5" "W" 0.002 -0.66 0.4225 1 1 8000 1 5 0.861565832184908 5 1000 19161 5
"6" "W" 0.002 -0.4125 0.505 1 1 8000 1 5 0.683196849706777 5 1000 19013 5
"7" "W" 0.002 -0.2475 0.38125 1 1 8000 1 5 0.964299951060516 5 1000 18910 5
"8" "W" 0.02 -0.9075 0.67 1 1 8000 1 5 0.400477566597125 5 1000 19942 5
"9" "W" 0.02 0 0.71125 1 1 8000 1 5 0.340731293541596 5 1000 19393 5
"10" "W" 0.02 -0.94875 0.67 1 1 8000 1 5 0.400477566597125 5 1000 19967 5
"11" "W" 0.002 -0.9075 0.62875 1 1 8000 1 5 0.464021557568188 5 1000 19316 5
"12" "W" 0.002 -0.99 1 1 1 8000 1 5 0 5 1000 19375 5
"13" "W" 0.02 -0.94875 0.29875 1 1 8000 1 5 1.20814817573642 5 1000 19958 5
"14" "W" 0.02 -0.37125 0.38125 1 1 8000 1 5 0.964299951060516 5 1000 19610 5
"15" "W" 0.002 -0.7425 0.0925 1 1 8000 1 5 2.38054663446376 5 1000 19203 5
"16" "W" 0.002 -0.45375 0.835 1 1 8000 1 5 0.180323554131281 5 1000 19046 5
"17" "W" 0.02 -0.7425 0.05125 1 1 8000 1 5 2.97103966096362 5 1000 19827 5
"18" "W" 0.002 -0.825 0.01 1 1 8000 1 5 4.60517018598809 5 1000 19251 5
"19" "W" 0.002 -0.20625 0.01 1 1 8000 1 5 4.60517018598809 5 1000 18876 5
"20" "W" 0.02 -0.28875 0.505 1 1 8000 1 5 0.683196849706777 5 1000 19563 5
"21" "W" 0.02 -0.2475 0.79375 1 1 8000 1 5 0.230986728775236 5 1000 19545 5
"22" "W" 0.002 0 0.71125 1 1 8000 1 5 0.340731293541596 5 1000 18768 5
"23" "W" 0.002 -0.94875 0.13375 1 1 8000 1 5 2.01178289320602 5 1000 19329 5
"24" "W" 0.02 -0.37125 0.21625 1 1 8000 1 5 1.53132013317015 5 1000 19606 5
"25" "W" 0.02 -0.0825 0.87625 1 1 8000 1 5 0.132103840633337 5 1000 19447 5
"26" "W" 0.002 -0.61875 0.0925 1 1 8000 1 5 2.38054663446376 5 1000 19128 5
"27" "W" 0.002 -0.33 0.05125 1 1 8000 1 5 2.97103966096362 5 1000 18952 5
"28" "W" 0.02 0 0.2575 1 1 8000 1 5 1.35673555887835 5 1000 19382 5
"29" "W" 0.002 -0.78375 0.54625 1 1 8000 1 5 0.604678532572337 5 1000 19239 5
"30" "W" 0.002 -0.61875 1 1 1 8000 1 5 0 5 1000 19150 5
"31" "W" 0.02 -0.2475 0.95875 1 1 8000 1 5 0.042124926300671 5 1000 19549 5
"32" "W" 0.02 -0.99 0.29875 1 1 8000 1 5 1.20814817573642 5 1000 19983 5
"33" "W" 0.02 -0.86625 0.46375 1 1 8000 1 5 0.768409665060492 5 1000 19912 5
"34" "W" 0.002 -0.4125 0.38125 1 1 8000 1 5 0.964299951060516 5 1000 19010 5
"35" "W" 0.002 -0.825 0.7525 1 1 8000 1 5 0.284354282359106 5 1000 19269 5
"36" "W" 0.02 -0.33 0.175 1 1 8000 1 5 1.74296930505862 5 1000 19580 5
"37" "W" 0.02 -0.165 0.13375 1 1 8000 1 5 2.01178289320602 5 1000 19479 5
"38" "W" 0.02 -0.0825 0.175 1 1 8000 1 5 1.74296930505862 5 1000 19430 5
"39" "W" 0.002 -0.61875 0.2575 1 1 8000 1 5 1.35673555887835 5 1000 19132 5
"40" "W" 0.02 -0.0825 0.21625 1 1 8000 1 5 1.53132013317015 5 1000 19431 5
"41" "W" 0.002 -0.165 0.62875 1 1 8000 1 5 0.464021557568188 5 1000 18866 5
"42" "W" 0.02 -0.0825 0.05125 1 1 8000 1 5 2.97103966096362 5 1000 19427 5
"43" "W" 0.02 0 0.175 1 1 8000 1 5 1.74296930505862 5 1000 19380 5
"44" "W" 0.002 -0.37125 0.7525 1 1 8000 1 5 0.284354282359106 5 1000 18994 5
"45" "W" 0.002 -0.94875 0.2575 1 1 8000 1 5 1.35673555887835 5 1000 19332 5
"46" "W" 0.002 -0.66 0.5875 1 1 8000 1 5 0.531879032963823 5 1000 19165 5
"47" "W" 0.02 -0.4125 0.46375 1 1 8000 1 5 0.768409665060492 5 1000 19637 5
"48" "W" 0.02 -0.2475 0.87625 1 1 8000 1 5 0.132103840633337 5 1000 19547 5
"49" "W" 0.002 -0.37125 0.4225 1 1 8000 1 5 0.861565832184908 5 1000 18986 5
"50" "W" 0.02 -0.12375 0.05125 1 1 8000 1 5 2.97103966096362 5 1000 19452 5
"51" "W" 0.002 -0.5775 0.835 1 1 8000 1 5 0.180323554131281 5 1000 19121 5
"52" "W" 0.002 -0.45375 0.79375 1 1 8000 1 5 0.230986728775236 5 1000 19045 5
"53" "W" 0.002 -0.04125 0.835 1 1 8000 1 5 0.180323554131281 5 1000 18796 5
"54" "W" 0.002 -0.61875 0.835 1 1 8000 1 5 0.180323554131281 5 1000 19146 5
"55" "W" 0.002 -0.5775 0.95875 1 1 8000 1 5 0.042124926300671 5 1000 19124 5
"56" "W" 0.002 -0.825 0.46375 1 1 8000 1 5 0.768409665060492 5 1000 19262 5
"57" "W" 0.002 -0.12375 0.46375 1 1 8000 1 5 0.768409665060492 5 1000 18837 5
"58" "W" 0.002 -0.20625 0.54625 1 1 8000 1 5 0.604678532572337 5 1000 18889 5
"59" "W" 0.002 -0.495 0.54625 1 1 8000 1 5 0.604678532572337 5 1000 19064 5
"60" "W" 0.002 -0.5775 0.0925 1 1 8000 1 5 2.38054663446376 5 1000 19103 5
"61" "W" 0.002 -0.5775 0.87625 1 1 8000 1 5 0.132103840633337 5 1000 19122 5
"62" "W" 0.02 -0.825 0.95875 1 1 8000 1 5 0.042124926300671 5 1000 19899 5
"63" "W" 0.002 -0.33 0.2575 1 1 8000 1 5 1.35673555887835 5 1000 18957 5
"64" "W" 0.002 -0.9075 0.2575 1 1 8000 1 5 1.35673555887835 5 1000 19307 5
"65" "W" 0.002 -0.99 0.29875 1 1 8000 1 5 1.20814817573642 5 1000 19358 5
"66" "W" 0.002 -0.7425 0.505 1 1 8000 1 5 0.683196849706777 5 1000 19213 5
"67" "W" 0.002 -0.45375 0.175 1 1 8000 1 5 1.74296930505862 5 1000 19030 5
"68" "W" 0.02 -0.20625 0.62875 1 1 8000 1 5 0.464021557568188 5 1000 19516 5
"69" "W" 0.002 -0.70125 0.5875 1 1 8000 1 5 0.531879032963823 5 1000 19190 5
"70" "W" 0.002 -0.825 0.505 1 1 8000 1 5 0.683196849706777 5 1000 19263 5
"71" "W" 0.02 -0.04125 0.87625 1 1 8000 1 5 0.132103840633337 5 1000 19422 5
"72" "W" 0.02 -0.0825 0.79375 1 1 8000 1 5 0.230986728775236 5 1000 19445 5
"73" "W" 0.002 -0.04125 0.7525 1 1 8000 1 5 0.284354282359106 5 1000 18794 5
"74" "W" 0.002 0 0.95875 1 1 8000 1 5 0.042124926300671 5 1000 18774 5
"75" "W" 0.02 -0.66 1 1 1 8000 1 5 0 5 1000 19800 5
"76" "W" 0.02 -0.165 1 1 1 8000 1 5 0 5 1000 19500 5
"77" "W" 0.02 -0.2475 0.38125 1 1 8000 1 5 0.964299951060516 5 1000 19535 5
"78" "W" 0.002 -0.99 0.05125 1 1 8000 1 5 2.97103966096362 5 1000 19352 5
"79" "W" 0.02 -0.99 0.0925 1 1 8000 1 5 2.38054663446376 5 1000 19978 5
"80" "W" 0.02 -0.78375 0.505 1 1 8000 1 5 0.683196849706777 5 1000 19863 5
"81" "W" 0.02 -0.45375 0.34 1 1 8000 1 5 1.07880966137193 5 1000 19659 5
"82" "W" 0.002 -0.66 0.21625 1 1 8000 1 5 1.53132013317015 5 1000 19156 5
"83" "W" 0.02 -0.61875 1 1 1 8000 1 5 0 5 1000 19775 5
"84" "W" 0.002 -0.37125 0.21625 1 1 8000 1 5 1.53132013317015 5 1000 18981 5
"85" "W" 0.02 -0.04125 0.9175 1 1 8000 1 5 0.0861026990534116 5 1000 19423 5
"86" "W" 0.002 -0.33 0.95875 1 1 8000 1 5 0.042124926300671 5 1000 18974 5
"87" "W" 0.002 -0.9075 0.87625 1 1 8000 1 5 0.132103840633337 5 1000 19322 5
"88" "W" 0.02 -0.94875 0.46375 1 1 8000 1 5 0.768409665060492 5 1000 19962 5
"89" "W" 0.02 -0.2475 0.175 1 1 8000 1 5 1.74296930505862 5 1000 19530 5
"90" "W" 0.02 0 0.0925 1 1 8000 1 5 2.38054663446376 5 1000 19378 5
"91" "W" 0.002 -0.7425 0.7525 1 1 8000 1 5 0.284354282359106 5 1000 19219 5
"92" "W" 0.02 0 0.13375 1 1 8000 1 5 2.01178289320602 5 1000 19379 5
"93" "W" 0.002 -0.4125 0.21625 1 1 8000 1 5 1.53132013317015 5 1000 19006 5
"94" "W" 0.002 -0.9075 0.79375 1 1 8000 1 5 0.230986728775236 5 1000 19320 5
"95" "W" 0.02 -0.78375 0.46375 1 1 8000 1 5 0.768409665060492 5 1000 19862 5
"96" "W" 0.02 -0.495 0.62875 1 1 8000 1 5 0.464021557568188 5 1000 19691 5
"97" "W" 0.002 -0.45375 0.29875 1 1 8000 1 5 1.20814817573642 5 1000 19033 5
"98" "W" 0.002 -0.33 0.67 1 1 8000 1 5 0.400477566597125 5 1000 18967 5
"99" "W" 0.02 -0.53625 0.505 1 1 8000 1 5 0.683196849706777 5 1000 19713 5
"100" "W" 0.002 -0.9075 0.01 1 1 8000 1 5 4.60517018598809 5 1000 19301 5
"101" "W" 0.002 -0.66 0.95875 1 1 8000 1 5 0.042124926300671 5 1000 19174 5
"102" "W" 0.002 -0.4125 0.13375 1 1 8000 1 5 2.01178289320602 5 1000 19004 5
"103" "W" 0.002 0 0.05125 1 1 8000 1 5 2.97103966096362 5 1000 18752 5
"104" "W" 0.002 -0.495 0.29875 1 1 8000 1 5 1.20814817573642 5 1000 19058 5
"105" "W" 0.02 -0.70125 0.34 1 1 8000 1 5 1.07880966137193 5 1000 19809 5
"106" "W" 0.02 -0.20625 1 1 1 8000 1 5 0 5 1000 19525 5
"107" "W" 0.002 -0.12375 0.71125 1 1 8000 1 5 0.340731293541596 5 1000 18843 5
"108" "W" 0.002 -0.70125 0.9175 1 1 8000 1 5 0.0861026990534116 5 1000 19198 5
"109" "W" 0.002 -0.45375 0.5875 1 1 8000 1 5 0.531879032963823 5 1000 19040 5
"110" "W" 0.002 -0.5775 0.21625 1 1 8000 1 5 1.53132013317015 5 1000 19106 5
"111" "W" 0.002 -0.20625 0.5875 1 1 8000 1 5 0.531879032963823 5 1000 18890 5
"112" "W" 0.002 -0.28875 0.67 1 1 8000 1 5 0.400477566597125 5 1000 18942 5
"113" "W" 0.02 -0.61875 0.0925 1 1 8000 1 5 2.38054663446376 5 1000 19753 5
"114" "W" 0.002 -0.825 0.87625 1 1 8000 1 5 0.132103840633337 5 1000 19272 5
"115" "W" 0.002 -0.37125 0.54625 1 1 8000 1 5 0.604678532572337 5 1000 18989 5
"116" "W" 0.02 -0.28875 0.9175 1 1 8000 1 5 0.0861026990534116 5 1000 19573 5
"117" "W" 0.02 -0.53625 0.46375 1 1 8000 1 5 0.768409665060492 5 1000 19712 5
"118" "W" 0.002 -0.5775 0.13375 1 1 8000 1 5 2.01178289320602 5 1000 19104 5
