"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "X" 0.06 -0.165 0.95875 0 1 2666.66666666667 1 5 0.042124926300671 5 1000 10493 5
"2" "X" 0.006 -0.5775 1 1 0 2666.66666666667 1 5 0 5 1000 8998 5
"3" "X" 0.006 -0.2475 0.21625 1 0 2666.66666666667 1 5 1.53132013317015 5 1000 8122 5
"4" "X" 0.006 -0.20625 0.835 0 1 2666.66666666667 1 5 0.180323554131281 5 1000 8081 5
"5" "X" 0.006 -0.165 1 0 1 2666.66666666667 1 5 0 5 1000 7997 5
"6" "X" 0.006 -0.12375 1 0 1 2666.66666666667 1 5 0 5 1000 7897 5
"7" "X" 0.06 -0.165 0.29875 0 1 2666.66666666667 1 5 1.20814817573642 5 1000 10429 5
"8" "X" 0.06 -0.61875 0.95875 0 1 2666.66666666667 1 5 0.042124926300671 5 1000 11593 5
"9" "X" 0.06 -0.04125 0.505 1 0.5 2666.66666666667 1 5 0.683196849706777 5 1000 10151 5
"10" "X" 0.006 -0.99 0.05125 1 0.5 2666.66666666667 1 5 2.97103966096362 5 1000 9907 5
"11" "X" 0.06 -0.78375 0.0925 0 1 2666.66666666667 1 5 2.38054663446376 5 1000 11909 5
"12" "X" 0.006 -0.5775 0.505 1 0.5 2666.66666666667 1 5 0.683196849706777 5 1000 8951 5
"13" "X" 0.006 -0.45375 0.5875 1 1 2666.66666666667 1 5 0.531879032963823 5 1000 8660 5
"14" "X" 0.006 -0.165 0.54625 1 1 2666.66666666667 1 5 0.604678532572337 5 1000 7956 5
"15" "X" 0.006 -0.28875 0.95875 0 1 2666.66666666667 1 5 0.042124926300671 5 1000 8293 5
"16" "X" 0.006 -0.33 0.79375 0 1 2666.66666666667 1 5 0.230986728775236 5 1000 8377 5
"17" "X" 0.006 -0.70125 0.34 1 1 2666.66666666667 1 5 1.07880966137193 5 1000 9236 5
"18" "X" 0.06 -0.86625 0.505 1 0.5 2666.66666666667 1 5 0.683196849706777 5 1000 12151 5
"19" "X" 0.006 -0.5775 0.835 1 0.5 2666.66666666667 1 5 0.180323554131281 5 1000 8983 5
"20" "X" 0.06 -0.12375 0.29875 1 0.5 2666.66666666667 1 5 1.20814817573642 5 1000 10331 5
"21" "X" 0.06 -0.70125 0.54625 1 0.5 2666.66666666667 1 5 0.604678532572337 5 1000 11755 5
"22" "X" 0.006 -0.61875 0.505 1 0 2666.66666666667 1 5 0.683196849706777 5 1000 9050 5
"23" "X" 0.006 -0.94875 0.62875 1 0 2666.66666666667 1 5 0.464021557568188 5 1000 9862 5
"24" "X" 0.006 -0.37125 0.21625 1 1 2666.66666666667 1 5 1.53132013317015 5 1000 8424 5
"25" "X" 0.06 -0.28875 0.4225 1 0 2666.66666666667 1 5 0.861565832184908 5 1000 10742 5
"26" "X" 0.06 -0.53625 0.2575 1 0 2666.66666666667 1 5 1.35673555887835 5 1000 11326 5
"27" "X" 0.06 0 0.835 0 1 2666.66666666667 1 5 0.180323554131281 5 1000 10081 5
"28" "X" 0.006 -0.53625 0.46375 1 0.5 2666.66666666667 1 5 0.768409665060492 5 1000 8847 5
"29" "X" 0.006 -0.4125 0.175 0 1 2666.66666666667 1 5 1.74296930505862 5 1000 8517 5
"30" "X" 0.006 -0.495 0.71125 1 1 2666.66666666667 1 5 0.340731293541596 5 1000 8772 5
"31" "X" 0.06 -0.20625 0.67 1 0 2666.66666666667 1 5 0.400477566597125 5 1000 10566 5
"32" "X" 0.006 -0.5775 0.95875 1 0.5 2666.66666666667 1 5 0.042124926300671 5 1000 8995 5
"33" "X" 0.06 -0.86625 1 1 1 2666.66666666667 1 5 0 5 1000 12200 5
"34" "X" 0.06 -0.53625 0.4225 1 0.5 2666.66666666667 1 5 0.861565832184908 5 1000 11343 5
"35" "X" 0.006 -0.94875 0.71125 0 1 2666.66666666667 1 5 0.340731293541596 5 1000 9869 5
"36" "X" 0.06 -0.70125 0.38125 1 1 2666.66666666667 1 5 0.964299951060516 5 1000 11740 5
"37" "X" 0.006 -0.86625 0.79375 1 0.5 2666.66666666667 1 5 0.230986728775236 5 1000 9679 5
"38" "X" 0.06 -0.12375 0.67 1 1 2666.66666666667 1 5 0.400477566597125 5 1000 10368 5
"39" "X" 0.06 -0.78375 0.4225 1 0.5 2666.66666666667 1 5 0.861565832184908 5 1000 11943 5
"40" "X" 0.006 -0.0825 0.29875 1 1 2666.66666666667 1 5 1.20814817573642 5 1000 7732 5
"41" "X" 0.06 -0.99 0.87625 1 1 2666.66666666667 1 5 0.132103840633337 5 1000 12488 5
"42" "X" 0.006 -0.495 1 1 1 2666.66666666667 1 5 0 5 1000 8800 5
"43" "X" 0.006 -0.33 0.4225 1 1 2666.66666666667 1 5 0.861565832184908 5 1000 8344 5
"44" "X" 0.06 -0.4125 0.505 1 0.5 2666.66666666667 1 5 0.683196849706777 5 1000 11051 5
"45" "X" 0.006 -0.4125 0.01 1 1 2666.66666666667 1 5 4.60517018598809 5 1000 8504 5
"46" "X" 0.06 -0.7425 0.835 0 1 2666.66666666667 1 5 0.180323554131281 5 1000 11881 5
"47" "X" 0.06 -0.20625 0.54625 1 0.5 2666.66666666667 1 5 0.604678532572337 5 1000 10555 5
"48" "X" 0.006 -0.9075 0.71125 0 1 2666.66666666667 1 5 0.340731293541596 5 1000 9769 5
"49" "X" 0.06 -0.53625 0.835 0 1 2666.66666666667 1 5 0.180323554131281 5 1000 11381 5
"50" "X" 0.006 -0.2475 0.71125 1 0.5 2666.66666666667 1 5 0.340731293541596 5 1000 8171 5
"51" "X" 0.06 -0.66 0.29875 1 0.5 2666.66666666667 1 5 1.20814817573642 5 1000 11631 5
"52" "X" 0.06 -0.53625 0.505 1 0.5 2666.66666666667 1 5 0.683196849706777 5 1000 11351 5
"53" "X" 0.006 -0.5775 0.87625 1 1 2666.66666666667 1 5 0.132103840633337 5 1000 8988 5
"54" "X" 0.06 -0.0825 0.67 1 0.5 2666.66666666667 1 5 0.400477566597125 5 1000 10267 5
"55" "X" 0.06 -0.495 0.21625 0 1 2666.66666666667 1 5 1.53132013317015 5 1000 11221 5
"56" "X" 0.006 -0.20625 1 0 1 2666.66666666667 1 5 0 5 1000 8097 5
"57" "X" 0.006 -0.0825 0.79375 0 1 2666.66666666667 1 5 0.230986728775236 5 1000 7777 5
