"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "Y" 0.02 -0.70125 0.7525 0 1 8000 1 5 0.284354282359106 5 1000 13569 5
"2" "Y" 0.02 -0.2475 0.175 0 1 8000 1 5 1.74296930505862 5 1000 13280 5
"3" "Y" 0.02 0 0.05125 0 1 8000 1 5 2.97103966096362 5 1000 13127 5
"4" "Y" 0.02 -0.86625 0.71125 0 1 8000 1 5 0.340731293541596 5 1000 13668 5
"5" "Y" 0.002 -0.5775 0.13375 0 1 8000 1 5 2.01178289320602 5 1000 12854 5
"6" "Y" 0.02 -0.45375 0.54625 0 1 8000 1 5 0.604678532572337 5 1000 13414 5
"7" "Y" 0.002 -0.86625 0.54625 0 1 8000 1 5 0.604678532572337 5 1000 13039 5
"8" "Y" 0.002 -0.45375 0.835 0 1 8000 1 5 0.180323554131281 5 1000 12796 5
"9" "Y" 0.002 -0.4125 1 0 1 8000 1 5 0 5 1000 12775 5
"10" "Y" 0.02 -0.99 0.13375 0 1 8000 1 5 2.01178289320602 5 1000 13729 5
"11" "Y" 0.002 -0.45375 0.21625 0 1 8000 1 5 1.53132013317015 5 1000 12781 5
"12" "Y" 0.02 -0.78375 0.54625 0 1 8000 1 5 0.604678532572337 5 1000 13614 5
"13" "Y" 0.002 -0.33 0.38125 0 1 8000 1 5 0.964299951060516 5 1000 12710 5
"14" "Y" 0.002 -0.0825 0.95875 0 1 8000 1 5 0.042124926300671 5 1000 12574 5
"15" "Y" 0.02 -0.04125 0.95875 0 1 8000 1 5 0.042124926300671 5 1000 13174 5
"16" "Y" 0.002 -0.78375 0.7525 0 1 8000 1 5 0.284354282359106 5 1000 12994 5
"17" "Y" 0.002 -0.7425 0.7525 0 1 8000 1 5 0.284354282359106 5 1000 12969 5
"18" "Y" 0.002 -0.495 0.7525 0 1 8000 1 5 0.284354282359106 5 1000 12819 5
