"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "Z" 0.006 -0.9075 0.87625 0 1 2666.66666666667 1 5 0.132103840633337 5 1000 16037 5
"2" "Z" 0.006 -0.28875 0.835 0 1 2666.66666666667 1 5 0.180323554131281 5 1000 14533 5
"3" "Z" 0.006 -0.61875 0.9175 0 0 2666.66666666667 1 5 0.0861026990534116 5 1000 15339 5
"4" "Z" 0.06 -0.61875 0.95875 0 1 2666.66666666667 1 5 0.042124926300671 5 1000 17845 5
"5" "Z" 0.006 -0.5775 0.05125 0 1 2666.66666666667 1 5 2.97103966096362 5 1000 15157 5
"6" "Z" 0.006 -0.0825 0.34 0 0.5 2666.66666666667 1 5 1.07880966137193 5 1000 13984 5
"7" "Z" 0.006 -0.825 0.79375 1 1 2666.66666666667 1 5 0.230986728775236 5 1000 15830 5
"8" "Z" 0.006 -0.78375 0.505 0 0 2666.66666666667 1 5 0.683196849706777 5 1000 15699 5
"9" "Z" 0.06 -0.94875 0.01 0 0 2666.66666666667 1 5 4.60517018598809 5 1000 18551 5
"10" "Z" 0.006 -0.825 0.5875 1 1 2666.66666666667 1 5 0.531879032963823 5 1000 15810 5
"11" "Z" 0.06 -0.825 0.9175 0 0.5 2666.66666666667 1 5 0.0861026990534116 5 1000 18340 5
"12" "Z" 0.006 -0.165 0.175 0 0 2666.66666666667 1 5 1.74296930505862 5 1000 14167 5
"13" "Z" 0.06 -0.70125 0.835 0 0 2666.66666666667 1 5 0.180323554131281 5 1000 18031 5
"14" "Z" 0.006 -0.5775 0.29875 0 0.5 2666.66666666667 1 5 1.20814817573642 5 1000 15180 5
"15" "Z" 0.006 -0.2475 0.34 0 0.5 2666.66666666667 1 5 1.07880966137193 5 1000 14384 5
"16" "Z" 0.06 -0.53625 0.38125 0 0.5 2666.66666666667 1 5 0.964299951060516 5 1000 17588 5
"17" "Z" 0.06 -0.7425 0.9175 1 1 2666.66666666667 1 5 0.0861026990534116 5 1000 18142 5
"18" "Z" 0.06 -0.20625 0.95875 0 1 2666.66666666667 1 5 0.042124926300671 5 1000 16845 5
"19" "Z" 0.006 -0.94875 0.95875 0 0 2666.66666666667 1 5 0.042124926300671 5 1000 16143 5
"20" "Z" 0.06 -0.12375 0.7525 0 1 2666.66666666667 1 5 0.284354282359106 5 1000 16625 5
"21" "Z" 0.06 -0.28875 0.4225 1 1 2666.66666666667 1 5 0.861565832184908 5 1000 16994 5
"22" "Z" 0.006 -0.4125 0.835 1 1 2666.66666666667 1 5 0.180323554131281 5 1000 14834 5
