"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "A" 0.08 -0.45375 1 0 0 2000 1 5 0 5 1000 5545 5
"2" "A" 0.008 -0.70125 0.05125 0 1 2000 1 5 2.97103966096362 5 1000 2559 5
"3" "A" 0.008 -0.86625 0.34 1 0.5 2000 1 5 1.07880966137193 5 1000 3203 5
"4" "A" 0.008 -0.04125 0.505 1 1 2000 1 5 0.683196849706777 5 1000 228 5
"5" "A" 0.08 -0.825 0.71125 1 0.5 2000 1 5 0.340731293541596 5 1000 6857 5
"6" "A" 0.08 0 0.05125 1 1 2000 1 5 2.97103966096362 5 1000 3762 5
"7" "A" 0.008 -0.0825 0.4225 0 0.5 2000 1 5 0.861565832184908 5 1000 362 5
"8" "A" 0.008 -0.99 0.2575 0 1 2000 1 5 1.35673555887835 5 1000 3639 5
"9" "A" 0.08 -0.66 0.13375 0 1 2000 1 5 2.01178289320602 5 1000 6171 5
"10" "A" 0.008 -0.70125 0.2575 1 0.5 2000 1 5 1.35673555887835 5 1000 2591 5
"11" "A" 0.08 -0.825 0.67 0 0.5 2000 1 5 0.400477566597125 5 1000 6848 5
"12" "A" 0.08 -0.33 0.9175 0 0.5 2000 1 5 0.0861026990534116 5 1000 5084 5
"13" "A" 0.08 -0.94875 0.87625 0 1 2000 1 5 0.132103840633337 5 1000 7329 5
"14" "A" 0.08 -0.165 0.13375 1 0.5 2000 1 5 2.01178289320602 5 1000 4373 5
"15" "A" 0.008 -0.2475 0.4225 0 0.5 2000 1 5 0.861565832184908 5 1000 962 5
"16" "A" 0.08 -0.495 0.38125 0 0.5 2000 1 5 0.964299951060516 5 1000 5606 5
"17" "A" 0.08 -0.45375 0.0925 1 0 2000 1 5 2.38054663446376 5 1000 5416 5
"18" "A" 0.008 -0.37125 0.505 1 1 2000 1 5 0.683196849706777 5 1000 1428 5
"19" "A" 0.008 -0.37125 0.2575 1 0.5 2000 1 5 1.35673555887835 5 1000 1391 5
"20" "A" 0.008 -0.66 0.2575 1 0 2000 1 5 1.35673555887835 5 1000 2440 5
"21" "A" 0.08 -0.12375 0.95875 1 1 2000 1 5 0.042124926300671 5 1000 4344 5
"22" "A" 0.08 -0.28875 0.505 1 0 2000 1 5 0.683196849706777 5 1000 4876 5
"23" "A" 0.008 -0.0825 0.0925 0 1 2000 1 5 2.38054663446376 5 1000 315 5
"24" "A" 0.008 -0.04125 0.62875 1 0.5 2000 1 5 0.464021557568188 5 1000 245 5
"25" "A" 0.008 -0.5775 0.29875 0 0.5 2000 1 5 1.20814817573642 5 1000 2144 5
"26" "A" 0.08 -0.53625 0.87625 1 1 2000 1 5 0.132103840633337 5 1000 5832 5
"27" "A" 0.08 -0.99 0.34 1 0 2000 1 5 1.07880966137193 5 1000 7402 5
"28" "A" 0.008 -0.7425 0.0925 0 0.5 2000 1 5 2.38054663446376 5 1000 2714 5
"29" "A" 0.008 -0.495 0.9175 1 1 2000 1 5 0.0861026990534116 5 1000 1938 5
"30" "A" 0.08 -0.165 0.95875 1 0.5 2000 1 5 0.042124926300671 5 1000 4493 5
"31" "A" 0.08 -0.33 0.79375 0 0.5 2000 1 5 0.230986728775236 5 1000 5066 5
"32" "A" 0.008 -0.0825 1 0 0 2000 1 5 0 5 1000 445 5
"33" "A" 0.08 -0.04125 0.505 0 1 2000 1 5 0.683196849706777 5 1000 3975 5
"34" "A" 0.008 -0.86625 0.95875 0 0.5 2000 1 5 0.042124926300671 5 1000 3290 5
"35" "A" 0.08 -0.86625 0.01 0 0.5 2000 1 5 4.60517018598809 5 1000 6902 5
"36" "A" 0.008 -0.78375 0.54625 1 1 2000 1 5 0.604678532572337 5 1000 2934 5
"37" "A" 0.08 -0.495 0.835 1 1 2000 1 5 0.180323554131281 5 1000 5676 5
"38" "A" 0.008 -0.7425 0.9175 1 0 2000 1 5 0.0861026990534116 5 1000 2836 5
"39" "A" 0.008 -0.28875 0.01 0 0 2000 1 5 4.60517018598809 5 1000 1051 5
"40" "A" 0.008 -0.04125 0.54625 1 0 2000 1 5 0.604678532572337 5 1000 232 5
"41" "A" 0.008 -0.0825 0.0925 0 0.5 2000 1 5 2.38054663446376 5 1000 314 5
"42" "A" 0.008 -0.165 1 1 0 2000 1 5 0 5 1000 748 5
"43" "A" 0.008 -0.2475 0.835 1 1 2000 1 5 0.180323554131281 5 1000 1026 5
"44" "A" 0.008 0 0.62875 1 0.5 2000 1 5 0.464021557568188 5 1000 95 5
"45" "A" 0.008 -0.9075 0.13375 0 0 2000 1 5 2.01178289320602 5 1000 3319 5
"46" "A" 0.08 -0.37125 0.29875 1 0 2000 1 5 1.20814817573642 5 1000 5146 5
"47" "A" 0.08 -0.78375 0.01 0 0.5 2000 1 5 4.60517018598809 5 1000 6602 5
"48" "A" 0.08 -0.37125 0.46375 1 0 2000 1 5 0.768409665060492 5 1000 5170 5
"49" "A" 0.008 -0.53625 0.87625 1 0.5 2000 1 5 0.132103840633337 5 1000 2081 5
"50" "A" 0.08 -0.61875 0.2575 1 0 2000 1 5 1.35673555887835 5 1000 6040 5
"51" "A" 0.08 -0.70125 0.5875 1 0.5 2000 1 5 0.531879032963823 5 1000 6389 5
"52" "A" 0.08 -0.66 0.79375 0 0.5 2000 1 5 0.230986728775236 5 1000 6266 5
"53" "A" 0.008 0 0.175 1 0 2000 1 5 1.74296930505862 5 1000 28 5
"54" "A" 0.008 -0.0825 0.05125 1 0 2000 1 5 2.97103966096362 5 1000 310 5
"55" "A" 0.008 -0.04125 0.38125 0 1 2000 1 5 0.964299951060516 5 1000 207 5
"56" "A" 0.008 -0.825 0.4225 0 0 2000 1 5 0.861565832184908 5 1000 3061 5
"57" "A" 0.008 0 1 1 1 2000 1 5 0 5 1000 150 5
"58" "A" 0.008 -0.28875 0.7525 0 1 2000 1 5 0.284354282359106 5 1000 1161 5
"59" "A" 0.08 -0.78375 0.05125 0 0.5 2000 1 5 2.97103966096362 5 1000 6608 5
"60" "A" 0.08 -0.5775 0.54625 1 0.5 2000 1 5 0.604678532572337 5 1000 5933 5
"61" "A" 0.08 -0.53625 0.505 0 1 2000 1 5 0.683196849706777 5 1000 5775 5
"62" "A" 0.08 -0.20625 0.34 1 1 2000 1 5 1.07880966137193 5 1000 4554 5
"63" "A" 0.008 -0.66 0.835 1 0.5 2000 1 5 0.180323554131281 5 1000 2525 5
"64" "A" 0.008 -0.12375 0.175 1 1 2000 1 5 1.74296930505862 5 1000 480 5
"65" "A" 0.008 -0.66 0.38125 1 0.5 2000 1 5 0.964299951060516 5 1000 2459 5
"66" "A" 0.08 0 0.5875 0 1 2000 1 5 0.531879032963823 5 1000 3837 5
"67" "A" 0.08 -0.33 0.67 1 1 2000 1 5 0.400477566597125 5 1000 5052 5
"68" "A" 0.08 -0.33 0.34 0 0.5 2000 1 5 1.07880966137193 5 1000 5000 5
"69" "A" 0.08 -0.86625 0.21625 0 0 2000 1 5 1.53132013317015 5 1000 6931 5
"70" "A" 0.08 -0.0825 0.95875 1 0 2000 1 5 0.042124926300671 5 1000 4192 5
"71" "A" 0.08 -0.5775 0.21625 1 1 2000 1 5 1.53132013317015 5 1000 5886 5
"72" "A" 0.08 -0.86625 0.835 1 1 2000 1 5 0.180323554131281 5 1000 7026 5
"73" "A" 0.08 -0.04125 0.835 0 0.5 2000 1 5 0.180323554131281 5 1000 4022 5
"74" "A" 0.08 -0.20625 0.21625 1 1 2000 1 5 1.53132013317015 5 1000 4536 5
"75" "A" 0.08 -0.28875 0.13375 1 1 2000 1 5 2.01178289320602 5 1000 4824 5
"76" "A" 0.08 -0.61875 0.9175 0 1 2000 1 5 0.0861026990534116 5 1000 6135 5
"77" "A" 0.08 -0.4125 0.87625 1 0.5 2000 1 5 0.132103840633337 5 1000 5381 5
"78" "A" 0.08 -0.165 1 0 1 2000 1 5 0 5 1000 4497 5
"79" "A" 0.08 -0.28875 0.67 1 1 2000 1 5 0.400477566597125 5 1000 4902 5
"80" "A" 0.008 -0.86625 0.2575 1 0 2000 1 5 1.35673555887835 5 1000 3190 5
"81" "A" 0.008 -0.825 0.835 1 0.5 2000 1 5 0.180323554131281 5 1000 3125 5
"82" "A" 0.08 -0.78375 0.21625 0 1 2000 1 5 1.53132013317015 5 1000 6633 5
"83" "A" 0.08 -0.20625 0.175 0 0.5 2000 1 5 1.74296930505862 5 1000 4526 5
"84" "A" 0.08 -0.45375 0.54625 1 0 2000 1 5 0.604678532572337 5 1000 5482 5
"85" "A" 0.008 -0.37125 0.54625 1 1 2000 1 5 0.604678532572337 5 1000 1434 5
"86" "A" 0.008 -0.53625 0.54625 0 0.5 2000 1 5 0.604678532572337 5 1000 2030 5
"87" "A" 0.008 -0.45375 0.79375 1 1 2000 1 5 0.230986728775236 5 1000 1770 5
"88" "A" 0.008 -0.9075 0.5875 1 0.5 2000 1 5 0.531879032963823 5 1000 3389 5
"89" "A" 0.08 -0.70125 0.46375 0 0.5 2000 1 5 0.768409665060492 5 1000 6368 5
"90" "A" 0.08 -0.86625 0.01 1 1 2000 1 5 4.60517018598809 5 1000 6906 5
"91" "A" 0.08 -0.04125 0.7525 0 1 2000 1 5 0.284354282359106 5 1000 4011 5
"92" "A" 0.08 -0.2475 0.5875 0 0 2000 1 5 0.531879032963823 5 1000 4735 5
"93" "A" 0.008 -0.04125 0.87625 0 0.5 2000 1 5 0.132103840633337 5 1000 278 5
"94" "A" 0.08 -0.0825 1 0 0.5 2000 1 5 0 5 1000 4196 5
"95" "A" 0.08 -0.495 0.01 1 0.5 2000 1 5 4.60517018598809 5 1000 5555 5
"96" "A" 0.08 -0.28875 0.9175 1 0 2000 1 5 0.0861026990534116 5 1000 4936 5
"97" "A" 0.08 -0.37125 0.4225 0 0 2000 1 5 0.861565832184908 5 1000 5161 5
"98" "A" 0.08 -0.86625 0.79375 0 0 2000 1 5 0.230986728775236 5 1000 7015 5
"99" "A" 0.08 -0.20625 0.38125 1 1 2000 1 5 0.964299951060516 5 1000 4560 5
"100" "A" 0.08 -0.70125 0.87625 0 0 2000 1 5 0.132103840633337 5 1000 6427 5
"101" "A" 0.08 -0.495 0.54625 0 0.5 2000 1 5 0.604678532572337 5 1000 5630 5
"102" "A" 0.008 -0.2475 0.05125 1 1 2000 1 5 2.97103966096362 5 1000 912 5
"103" "A" 0.008 -0.2475 0.34 1 0 2000 1 5 1.07880966137193 5 1000 952 5
"104" "A" 0.08 -0.2475 0.13375 0 0.5 2000 1 5 2.01178289320602 5 1000 4670 5
"105" "A" 0.08 -0.86625 0.4225 1 0 2000 1 5 0.861565832184908 5 1000 6964 5
"106" "A" 0.008 -0.99 0.0925 1 0 2000 1 5 2.38054663446376 5 1000 3616 5
"107" "A" 0.008 -0.04125 0.5875 0 0.5 2000 1 5 0.531879032963823 5 1000 236 5
"108" "A" 0.008 -0.33 0.505 0 1 2000 1 5 0.683196849706777 5 1000 1275 5
"109" "A" 0.008 -0.825 0.21625 1 0.5 2000 1 5 1.53132013317015 5 1000 3035 5
"110" "A" 0.008 -0.04125 0.95875 0 0 2000 1 5 0.042124926300671 5 1000 289 5
"111" "A" 0.008 -0.20625 0.0925 1 1 2000 1 5 2.38054663446376 5 1000 768 5
