"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "Z" 0.06 -0.4 0.9 1 1 2666.66666666667 1 5 0.105360515657826 5 1000 296 5
"2" "Z" 0.06 -0.779310344827586 0.9 0 1 2666.66666666667 1 5 0.105360515657826 5 1000 131 5
"3" "Z" 0.06 -0.627586206896552 0.97425 0 1 2666.66666666667 1 5 0.0260873347633184 5 1000 24 5
"4" "Z" 0.06 -0.386206896551724 0.92475 1 1 2666.66666666667 1 5 0.0782318482695737 5 1000 287 5
"5" "Z" 0.06 -0.682758620689655 0.9 0 1 2666.66666666667 1 5 0.105360515657826 5 1000 61 5
"6" "Z" 0.06 -0.627586206896552 0.92475 0 1 2666.66666666667 1 5 0.0782318482695737 5 1000 22 5
"7" "Z" 0.06 -0.220689655172414 0.97425 1 1 2666.66666666667 1 5 0.0260873347633184 5 1000 169 5
"8" "Z" 0.06 -0.668965517241379 0.999 0 1 2666.66666666667 1 5 0.00100050033358353 5 1000 55 5
"9" "Z" 0.06 -0.668965517241379 0.92475 0 1 2666.66666666667 1 5 0.0782318482695737 5 1000 52 5
"10" "Z" 0.06 -0.2 0.999 1 1 2666.66666666667 1 5 0.00100050033358353 5 1000 155 5
"11" "Z" 0.06 -0.6 0.97425 0 1 2666.66666666667 1 5 0.0260873347633184 5 1000 4 5
"12" "Z" 0.06 -0.206896551724138 0.92475 1 1 2666.66666666667 1 5 0.0782318482695737 5 1000 157 5
"13" "Z" 0.06 -0.331034482758621 0.999 1 1 2666.66666666667 1 5 0.00100050033358353 5 1000 250 5
"14" "Z" 0.06 -0.710344827586207 0.97425 0 1 2666.66666666667 1 5 0.0260873347633184 5 1000 84 5
"15" "Z" 0.06 -0.662068965517241 0.9495 0 1 2666.66666666667 1 5 0.0518197487297965 5 1000 48 5
"16" "Z" 0.06 -0.206896551724138 0.9495 1 1 2666.66666666667 1 5 0.0518197487297965 5 1000 158 5
"17" "Z" 0.06 -0.606896551724138 0.9495 0 1 2666.66666666667 1 5 0.0518197487297965 5 1000 8 5
"18" "Z" 0.06 -0.296551724137931 0.92475 1 1 2666.66666666667 1 5 0.0782318482695737 5 1000 222 5
"19" "Z" 0.06 -0.689655172413793 0.9 0 1 2666.66666666667 1 5 0.105360515657826 5 1000 66 5
"20" "Z" 0.06 -0.337931034482759 0.97425 1 1 2666.66666666667 1 5 0.0260873347633184 5 1000 254 5
"21" "Z" 0.06 -0.358620689655172 0.9 1 1 2666.66666666667 1 5 0.105360515657826 5 1000 266 5
"22" "Z" 0.06 -0.6 0.92475 0 1 2666.66666666667 1 5 0.0782318482695737 5 1000 2 5
"23" "Z" 0.06 -0.76551724137931 0.9495 0 1 2666.66666666667 1 5 0.0518197487297965 5 1000 123 5
"24" "Z" 0.06 -0.275862068965517 0.97425 1 1 2666.66666666667 1 5 0.0260873347633184 5 1000 209 5
"25" "Z" 0.06 -0.213793103448276 0.9495 1 1 2666.66666666667 1 5 0.0518197487297965 5 1000 163 5
"26" "Z" 0.06 -0.36551724137931 0.9495 1 1 2666.66666666667 1 5 0.0518197487297965 5 1000 273 5
"27" "Z" 0.06 -0.606896551724138 0.9 0 1 2666.66666666667 1 5 0.105360515657826 5 1000 6 5
"28" "Z" 0.06 -0.8 0.92475 0 1 2666.66666666667 1 5 0.0782318482695737 5 1000 147 5
"29" "Z" 0.06 -0.386206896551724 0.999 1 1 2666.66666666667 1 5 0.00100050033358353 5 1000 290 5
"30" "Z" 0.06 -0.689655172413793 0.97425 0 1 2666.66666666667 1 5 0.0260873347633184 5 1000 69 5
"31" "Z" 0.06 -0.744827586206897 0.9 0 1 2666.66666666667 1 5 0.105360515657826 5 1000 106 5
"32" "Z" 0.06 -0.737931034482759 0.999 0 1 2666.66666666667 1 5 0.00100050033358353 5 1000 105 5
"33" "Z" 0.06 -0.606896551724138 0.999 0 1 2666.66666666667 1 5 0.00100050033358353 5 1000 10 5
"34" "Z" 0.06 -0.793103448275862 0.9 0 1 2666.66666666667 1 5 0.105360515657826 5 1000 141 5
"35" "Z" 0.06 -0.731034482758621 0.9 0 1 2666.66666666667 1 5 0.105360515657826 5 1000 96 5
"36" "Z" 0.06 -0.772413793103448 0.97425 0 1 2666.66666666667 1 5 0.0260873347633184 5 1000 129 5
"37" "Z" 0.06 -0.710344827586207 0.92475 0 1 2666.66666666667 1 5 0.0782318482695737 5 1000 82 5
"38" "Z" 0.06 -0.779310344827586 0.92475 0 1 2666.66666666667 1 5 0.0782318482695737 5 1000 132 5
"39" "Z" 0.06 -0.620689655172414 0.97425 0 1 2666.66666666667 1 5 0.0260873347633184 5 1000 19 5
"40" "Z" 0.06 -0.793103448275862 0.9495 0 1 2666.66666666667 1 5 0.0518197487297965 5 1000 143 5
"41" "Z" 0.06 -0.255172413793103 0.999 1 1 2666.66666666667 1 5 0.00100050033358353 5 1000 195 5
"42" "Z" 0.06 -0.310344827586207 0.97425 1 1 2666.66666666667 1 5 0.0260873347633184 5 1000 234 5
"43" "Z" 0.06 -0.8 0.9495 0 1 2666.66666666667 1 5 0.0518197487297965 5 1000 148 5
"44" "Z" 0.06 -0.751724137931035 0.92475 0 1 2666.66666666667 1 5 0.0782318482695737 5 1000 112 5
"45" "Z" 0.06 -0.213793103448276 0.97425 1 1 2666.66666666667 1 5 0.0260873347633184 5 1000 164 5
"46" "Z" 0.06 -0.262068965517241 0.999 1 1 2666.66666666667 1 5 0.00100050033358353 5 1000 200 5
"47" "Z" 0.06 -0.76551724137931 0.97425 0 1 2666.66666666667 1 5 0.0260873347633184 5 1000 124 5
"48" "Z" 0.06 -0.317241379310345 0.92475 1 1 2666.66666666667 1 5 0.0782318482695737 5 1000 237 5
"49" "Z" 0.06 -0.662068965517241 0.97425 0 1 2666.66666666667 1 5 0.0260873347633184 5 1000 49 5
"50" "Z" 0.06 -0.241379310344828 0.9495 1 1 2666.66666666667 1 5 0.0518197487297965 5 1000 183 5
"51" "Z" 0.06 -0.2 0.9 1 1 2666.66666666667 1 5 0.105360515657826 5 1000 151 5
"52" "Z" 0.06 -0.758620689655172 0.92475 0 1 2666.66666666667 1 5 0.0782318482695737 5 1000 117 5
"53" "Z" 0.06 -0.372413793103448 0.97425 1 1 2666.66666666667 1 5 0.0260873347633184 5 1000 279 5
"54" "Z" 0.06 -0.76551724137931 0.92475 0 1 2666.66666666667 1 5 0.0782318482695737 5 1000 122 5
"55" "Z" 0.06 -0.206896551724138 0.97425 1 1 2666.66666666667 1 5 0.0260873347633184 5 1000 159 5
"56" "Z" 0.06 -0.731034482758621 0.97425 0 1 2666.66666666667 1 5 0.0260873347633184 5 1000 99 5
"57" "Z" 0.06 -0.248275862068966 0.9 1 1 2666.66666666667 1 5 0.105360515657826 5 1000 186 5
"58" "Z" 0.06 -0.696551724137931 0.97425 0 1 2666.66666666667 1 5 0.0260873347633184 5 1000 74 5
"59" "Z" 0.06 -0.248275862068966 0.9495 1 1 2666.66666666667 1 5 0.0518197487297965 5 1000 188 5
"60" "Z" 0.06 -0.317241379310345 0.999 1 1 2666.66666666667 1 5 0.00100050033358353 5 1000 240 5
