"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "C" 0.004 -0.165 0 0 1 4000 1 5 Inf 5 1000 809 5
"2" "C" 0.04 -0.78375 0 1 1 4000 1 5 Inf 5 1000 890 5
"3" "C" 0.04 -0.94875 0 1 1 4000 1 5 Inf 5 1000 898 5
"4" "C" 0.04 -0.94875 0 0 1 4000 1 5 Inf 5 1000 897 5
"5" "C" 0.004 -0.70125 0 0 1 4000 1 5 Inf 5 1000 835 5
"6" "C" 0.004 -0.04125 0 0 1 4000 1 5 Inf 5 1000 803 5
"7" "C" 0.04 0 0 1 1 4000 1 5 Inf 5 1000 852 5
"8" "C" 0.04 -0.45375 0 0 1 4000 1 5 Inf 5 1000 873 5
"9" "C" 0.04 -0.04125 0 0 1 4000 1 5 Inf 5 1000 853 5
"10" "C" 0.004 -0.495 0 1 1 4000 1 5 Inf 5 1000 826 5
"11" "C" 0.04 -0.70125 0 0 1 4000 1 5 Inf 5 1000 885 5
"12" "C" 0.004 -0.165 0 1 1 4000 1 5 Inf 5 1000 810 5
"13" "C" 0.04 -0.0825 0 1 1 4000 1 5 Inf 5 1000 856 5
"14" "C" 0.004 -0.04125 0 1 1 4000 1 5 Inf 5 1000 804 5
"15" "C" 0.04 -0.12375 0 1 1 4000 1 5 Inf 5 1000 858 5
"16" "C" 0.04 -0.37125 0 0 1 4000 1 5 Inf 5 1000 869 5
"17" "C" 0.04 -0.28875 0 0 1 4000 1 5 Inf 5 1000 865 5
"18" "C" 0.04 -0.86625 0 1 1 4000 1 5 Inf 5 1000 894 5
"19" "C" 0.04 -0.99 0 0 1 4000 1 5 Inf 5 1000 899 5
"20" "C" 0.04 -0.86625 0 0 1 4000 1 5 Inf 5 1000 893 5
"21" "C" 0.04 -0.9075 0 1 1 4000 1 5 Inf 5 1000 896 5
"22" "C" 0.004 -0.0825 0 0 1 4000 1 5 Inf 5 1000 805 5
"23" "C" 0.004 -0.4125 0 0 1 4000 1 5 Inf 5 1000 821 5
"24" "C" 0.004 -0.33 0 0 1 4000 1 5 Inf 5 1000 817 5
"25" "C" 0.04 -0.66 0 0 1 4000 1 5 Inf 5 1000 883 5
"26" "C" 0.004 -0.2475 0 0 1 4000 1 5 Inf 5 1000 813 5
