"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "P" 0.004 -0.37125 0 1 1 4000 1 5 Inf 5 1000 920 5
"2" "P" 0.04 -0.9075 0 0 1 4000 1 5 Inf 5 1000 995 5
"3" "P" 0.04 -0.94875 0 1 1 4000 1 5 Inf 5 1000 998 5
"4" "P" 0.004 -0.2475 0 0 1 4000 1 5 Inf 5 1000 913 5
"5" "P" 0.004 -0.9075 0 0 1 4000 1 5 Inf 5 1000 945 5
"6" "P" 0.04 -0.0825 0 1 1 4000 1 5 Inf 5 1000 956 5
"7" "P" 0.04 -0.5775 0 1 1 4000 1 5 Inf 5 1000 980 5
"8" "P" 0.04 -0.78375 0 0 1 4000 1 5 Inf 5 1000 989 5
"9" "P" 0.04 -0.94875 0 0 1 4000 1 5 Inf 5 1000 997 5
"10" "P" 0.004 -0.78375 0 1 1 4000 1 5 Inf 5 1000 940 5
"11" "P" 0.04 -0.165 0 1 1 4000 1 5 Inf 5 1000 960 5
"12" "P" 0.04 -0.70125 0 0 1 4000 1 5 Inf 5 1000 985 5
"13" "P" 0.04 0 0 1 1 4000 1 5 Inf 5 1000 952 5
"14" "P" 0.004 -0.04125 0 0 1 4000 1 5 Inf 5 1000 903 5
"15" "P" 0.004 -0.5775 0 0 1 4000 1 5 Inf 5 1000 929 5
"16" "P" 0.004 -0.94875 0 1 1 4000 1 5 Inf 5 1000 948 5
"17" "P" 0.04 -0.86625 0 1 1 4000 1 5 Inf 5 1000 994 5
"18" "P" 0.04 -0.28875 0 1 1 4000 1 5 Inf 5 1000 966 5
"19" "P" 0.04 -0.33 0 1 1 4000 1 5 Inf 5 1000 968 5
"20" "P" 0.04 -0.2475 0 1 1 4000 1 5 Inf 5 1000 964 5
"21" "P" 0.004 -0.165 0 0 1 4000 1 5 Inf 5 1000 909 5
"22" "P" 0.004 -0.0825 0 0 1 4000 1 5 Inf 5 1000 905 5
"23" "P" 0.04 -0.45375 0 0 1 4000 1 5 Inf 5 1000 973 5
"24" "P" 0.004 -0.70125 0 1 1 4000 1 5 Inf 5 1000 936 5
"25" "P" 0.004 -0.70125 0 0 1 4000 1 5 Inf 5 1000 935 5
"26" "P" 0.004 -0.04125 0 1 1 4000 1 5 Inf 5 1000 904 5
"27" "P" 0.004 -0.78375 0 0 1 4000 1 5 Inf 5 1000 939 5
"28" "P" 0.04 -0.7425 0 0 1 4000 1 5 Inf 5 1000 987 5
"29" "P" 0.04 -0.33 0 0 1 4000 1 5 Inf 5 1000 967 5
"30" "P" 0.004 -0.5775 0 1 1 4000 1 5 Inf 5 1000 930 5
"31" "P" 0.004 -0.4125 0 1 1 4000 1 5 Inf 5 1000 922 5
"32" "P" 0.04 -0.53625 0 1 1 4000 1 5 Inf 5 1000 978 5
"33" "P" 0.04 -0.78375 0 1 1 4000 1 5 Inf 5 1000 990 5
"34" "P" 0.04 -0.20625 0 1 1 4000 1 5 Inf 5 1000 962 5
"35" "P" 0.04 -0.4125 0 0 1 4000 1 5 Inf 5 1000 971 5
"36" "P" 0.004 -0.45375 0 0 1 4000 1 5 Inf 5 1000 923 5
"37" "P" 0.004 -0.2475 0 1 1 4000 1 5 Inf 5 1000 914 5
"38" "P" 0.04 -0.99 0 1 1 4000 1 5 Inf 5 1000 1000 5
"39" "P" 0.04 -0.53625 0 0 1 4000 1 5 Inf 5 1000 977 5
"40" "P" 0.04 -0.2475 0 0 1 4000 1 5 Inf 5 1000 963 5
"41" "P" 0.04 -0.495 0 1 1 4000 1 5 Inf 5 1000 976 5
"42" "P" 0.04 -0.86625 0 0 1 4000 1 5 Inf 5 1000 993 5
"43" "P" 0.004 -0.12375 0 0 1 4000 1 5 Inf 5 1000 907 5
"44" "P" 0.004 -0.495 0 0 1 4000 1 5 Inf 5 1000 925 5
"45" "P" 0.04 -0.66 0 0 1 4000 1 5 Inf 5 1000 983 5
"46" "P" 0.004 -0.61875 0 1 1 4000 1 5 Inf 5 1000 932 5
"47" "P" 0.004 -0.0825 0 1 1 4000 1 5 Inf 5 1000 906 5
"48" "P" 0.004 -0.20625 0 1 1 4000 1 5 Inf 5 1000 912 5
"49" "P" 0.004 -0.86625 0 0 1 4000 1 5 Inf 5 1000 943 5
"50" "P" 0.004 -0.165 0 1 1 4000 1 5 Inf 5 1000 910 5
"51" "P" 0.004 -0.53625 0 0 1 4000 1 5 Inf 5 1000 927 5
"52" "P" 0.004 -0.495 0 1 1 4000 1 5 Inf 5 1000 926 5
"53" "P" 0.04 -0.61875 0 1 1 4000 1 5 Inf 5 1000 982 5
"54" "P" 0.04 0 0 0 1 4000 1 5 Inf 5 1000 951 5
"55" "P" 0.004 -0.66 0 0 1 4000 1 5 Inf 5 1000 933 5
"56" "P" 0.04 -0.99 0 0 1 4000 1 5 Inf 5 1000 999 5
"57" "P" 0.04 -0.20625 0 0 1 4000 1 5 Inf 5 1000 961 5
"58" "P" 0.04 -0.37125 0 1 1 4000 1 5 Inf 5 1000 970 5
"59" "P" 0.004 -0.9075 0 1 1 4000 1 5 Inf 5 1000 946 5
"60" "P" 0.04 -0.37125 0 0 1 4000 1 5 Inf 5 1000 969 5
"61" "P" 0.004 -0.66 0 1 1 4000 1 5 Inf 5 1000 934 5
"62" "P" 0.004 -0.825 0 0 1 4000 1 5 Inf 5 1000 941 5
"63" "P" 0.004 -0.28875 0 0 1 4000 1 5 Inf 5 1000 915 5
"64" "P" 0.04 -0.66 0 1 1 4000 1 5 Inf 5 1000 984 5
"65" "P" 0.04 -0.495 0 0 1 4000 1 5 Inf 5 1000 975 5
"66" "P" 0.04 -0.825 0 0 1 4000 1 5 Inf 5 1000 991 5
"67" "P" 0.004 -0.99 0 1 1 4000 1 5 Inf 5 1000 950 5
"68" "P" 0.04 -0.70125 0 1 1 4000 1 5 Inf 5 1000 986 5
"69" "P" 0.04 -0.7425 0 1 1 4000 1 5 Inf 5 1000 988 5
"70" "P" 0.004 -0.94875 0 0 1 4000 1 5 Inf 5 1000 947 5
"71" "P" 0.004 -0.12375 0 1 1 4000 1 5 Inf 5 1000 908 5
"72" "P" 0.004 0 0 0 1 4000 1 5 Inf 5 1000 901 5
"73" "P" 0.004 -0.61875 0 0 1 4000 1 5 Inf 5 1000 931 5
"74" "P" 0.04 -0.61875 0 0 1 4000 1 5 Inf 5 1000 981 5
"75" "P" 0.04 -0.12375 0 0 1 4000 1 5 Inf 5 1000 957 5
"76" "P" 0.004 -0.20625 0 0 1 4000 1 5 Inf 5 1000 911 5
"77" "P" 0.004 -0.45375 0 1 1 4000 1 5 Inf 5 1000 924 5
"78" "P" 0.04 -0.45375 0 1 1 4000 1 5 Inf 5 1000 974 5
"79" "P" 0.04 -0.4125 0 1 1 4000 1 5 Inf 5 1000 972 5
"80" "P" 0.04 -0.825 0 1 1 4000 1 5 Inf 5 1000 992 5
"81" "P" 0.004 -0.28875 0 1 1 4000 1 5 Inf 5 1000 916 5
"82" "P" 0.04 -0.165 0 0 1 4000 1 5 Inf 5 1000 959 5
"83" "P" 0.004 -0.37125 0 0 1 4000 1 5 Inf 5 1000 919 5
"84" "P" 0.004 -0.53625 0 1 1 4000 1 5 Inf 5 1000 928 5
"85" "P" 0.04 -0.04125 0 1 1 4000 1 5 Inf 5 1000 954 5
"86" "P" 0.04 -0.5775 0 0 1 4000 1 5 Inf 5 1000 979 5
"87" "P" 0.004 -0.4125 0 0 1 4000 1 5 Inf 5 1000 921 5
"88" "P" 0.04 -0.28875 0 0 1 4000 1 5 Inf 5 1000 965 5
"89" "P" 0.004 -0.33 0 1 1 4000 1 5 Inf 5 1000 918 5
"90" "P" 0.004 -0.7425 0 1 1 4000 1 5 Inf 5 1000 938 5
"91" "P" 0.04 -0.04125 0 0 1 4000 1 5 Inf 5 1000 953 5
"92" "P" 0.04 -0.0825 0 0 1 4000 1 5 Inf 5 1000 955 5
"93" "P" 0.004 -0.86625 0 1 1 4000 1 5 Inf 5 1000 944 5
"94" "P" 0.004 -0.7425 0 0 1 4000 1 5 Inf 5 1000 937 5
"95" "P" 0.004 -0.33 0 0 1 4000 1 5 Inf 5 1000 917 5
"96" "P" 0.04 -0.12375 0 1 1 4000 1 5 Inf 5 1000 958 5
"97" "P" 0.004 -0.825 0 1 1 4000 1 5 Inf 5 1000 942 5
"98" "P" 0.004 0 0 1 1 4000 1 5 Inf 5 1000 902 5
"99" "P" 0.004 -0.99 0 0 1 4000 1 5 Inf 5 1000 949 5
"100" "P" 0.04 -0.9075 0 1 1 4000 1 5 Inf 5 1000 996 5
