"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "W" 0.002 0 0 1 1 8000 1 5 Inf 5 1000 751 5
"2" "W" 0.002 -0.37125 0 1 1 8000 1 5 Inf 5 1000 760 5
"3" "W" 0.002 -0.9075 0 1 1 8000 1 5 Inf 5 1000 773 5
"4" "W" 0.002 -0.12375 0 1 1 8000 1 5 Inf 5 1000 754 5
"5" "W" 0.002 -0.495 0 1 1 8000 1 5 Inf 5 1000 763 5
"6" "W" 0.02 -0.165 0 1 1 8000 1 5 Inf 5 1000 780 5
"7" "W" 0.02 -0.53625 0 1 1 8000 1 5 Inf 5 1000 789 5
"8" "W" 0.002 -0.28875 0 1 1 8000 1 5 Inf 5 1000 758 5
"9" "W" 0.002 -0.2475 0 1 1 8000 1 5 Inf 5 1000 757 5
"10" "W" 0.002 -0.99 0 1 1 8000 1 5 Inf 5 1000 775 5
"11" "W" 0.002 -0.66 0 1 1 8000 1 5 Inf 5 1000 767 5
"12" "W" 0.002 -0.4125 0 1 1 8000 1 5 Inf 5 1000 761 5
"13" "W" 0.02 -0.7425 0 1 1 8000 1 5 Inf 5 1000 794 5
"14" "W" 0.02 -0.04125 0 1 1 8000 1 5 Inf 5 1000 777 5
"15" "W" 0.02 -0.0825 0 1 1 8000 1 5 Inf 5 1000 778 5
"16" "W" 0.02 -0.12375 0 1 1 8000 1 5 Inf 5 1000 779 5
"17" "W" 0.02 -0.37125 0 1 1 8000 1 5 Inf 5 1000 785 5
"18" "W" 0.002 -0.94875 0 1 1 8000 1 5 Inf 5 1000 774 5
"19" "W" 0.02 -0.99 0 1 1 8000 1 5 Inf 5 1000 800 5
"20" "W" 0.02 -0.5775 0 1 1 8000 1 5 Inf 5 1000 790 5
"21" "W" 0.002 -0.04125 0 1 1 8000 1 5 Inf 5 1000 752 5
"22" "W" 0.02 -0.61875 0 1 1 8000 1 5 Inf 5 1000 791 5
"23" "W" 0.002 -0.825 0 1 1 8000 1 5 Inf 5 1000 771 5
"24" "W" 0.02 -0.825 0 1 1 8000 1 5 Inf 5 1000 796 5
"25" "W" 0.02 -0.94875 0 1 1 8000 1 5 Inf 5 1000 799 5
"26" "W" 0.02 0 0 1 1 8000 1 5 Inf 5 1000 776 5
"27" "W" 0.002 -0.78375 0 1 1 8000 1 5 Inf 5 1000 770 5
"28" "W" 0.02 -0.4125 0 1 1 8000 1 5 Inf 5 1000 786 5
"29" "W" 0.02 -0.2475 0 1 1 8000 1 5 Inf 5 1000 782 5
"30" "W" 0.002 -0.0825 0 1 1 8000 1 5 Inf 5 1000 753 5
"31" "W" 0.002 -0.165 0 1 1 8000 1 5 Inf 5 1000 755 5
"32" "W" 0.02 -0.86625 0 1 1 8000 1 5 Inf 5 1000 797 5
"33" "W" 0.02 -0.9075 0 1 1 8000 1 5 Inf 5 1000 798 5
"34" "W" 0.002 -0.33 0 1 1 8000 1 5 Inf 5 1000 759 5
"35" "W" 0.02 -0.28875 0 1 1 8000 1 5 Inf 5 1000 783 5
"36" "W" 0.02 -0.495 0 1 1 8000 1 5 Inf 5 1000 788 5
"37" "W" 0.002 -0.20625 0 1 1 8000 1 5 Inf 5 1000 756 5
"38" "W" 0.02 -0.20625 0 1 1 8000 1 5 Inf 5 1000 781 5
"39" "W" 0.002 -0.45375 0 1 1 8000 1 5 Inf 5 1000 762 5
"40" "W" 0.02 -0.70125 0 1 1 8000 1 5 Inf 5 1000 793 5
"41" "W" 0.02 -0.33 0 1 1 8000 1 5 Inf 5 1000 784 5
"42" "W" 0.02 -0.78375 0 1 1 8000 1 5 Inf 5 1000 795 5
"43" "W" 0.002 -0.53625 0 1 1 8000 1 5 Inf 5 1000 764 5
"44" "W" 0.002 -0.86625 0 1 1 8000 1 5 Inf 5 1000 772 5
"45" "W" 0.002 -0.5775 0 1 1 8000 1 5 Inf 5 1000 765 5
"46" "W" 0.02 -0.66 0 1 1 8000 1 5 Inf 5 1000 792 5
"47" "W" 0.02 -0.45375 0 1 1 8000 1 5 Inf 5 1000 787 5
"48" "W" 0.002 -0.7425 0 1 1 8000 1 5 Inf 5 1000 769 5
"49" "W" 0.002 -0.70125 0 1 1 8000 1 5 Inf 5 1000 768 5
"50" "W" 0.002 -0.61875 0 1 1 8000 1 5 Inf 5 1000 766 5
