"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "X" 0.06 -0.5775 0 1 0 2666.66666666667 1 5 Inf 5 1000 458 5
"2" "X" 0.006 -0.12375 0 1 0.5 2666.66666666667 1 5 Inf 5 1000 315 5
"3" "X" 0.06 -0.20625 0 1 0 2666.66666666667 1 5 Inf 5 1000 422 5
"4" "X" 0.06 -0.86625 0 1 1 2666.66666666667 1 5 Inf 5 1000 488 5
"5" "X" 0.06 -0.53625 0 0 1 2666.66666666667 1 5 Inf 5 1000 453 5
"6" "X" 0.006 -0.0825 0 1 0.5 2666.66666666667 1 5 Inf 5 1000 311 5
"7" "X" 0.006 -0.495 0 1 1 2666.66666666667 1 5 Inf 5 1000 352 5
"8" "X" 0.006 -0.61875 0 1 1 2666.66666666667 1 5 Inf 5 1000 364 5
"9" "X" 0.006 -0.28875 0 1 0.5 2666.66666666667 1 5 Inf 5 1000 331 5
"10" "X" 0.006 -0.33 0 1 0 2666.66666666667 1 5 Inf 5 1000 334 5
"11" "X" 0.006 -0.37125 0 0 1 2666.66666666667 1 5 Inf 5 1000 337 5
"12" "X" 0.06 -0.61875 0 1 0.5 2666.66666666667 1 5 Inf 5 1000 463 5
"13" "X" 0.06 -0.70125 0 1 0.5 2666.66666666667 1 5 Inf 5 1000 471 5
"14" "X" 0.06 -0.86625 0 1 0.5 2666.66666666667 1 5 Inf 5 1000 487 5
"15" "X" 0.006 -0.2475 0 1 0.5 2666.66666666667 1 5 Inf 5 1000 327 5
"16" "X" 0.006 -0.94875 0 0 1 2666.66666666667 1 5 Inf 5 1000 393 5
"17" "X" 0.06 -0.33 0 1 0.5 2666.66666666667 1 5 Inf 5 1000 435 5
"18" "X" 0.06 -0.4125 0 0 1 2666.66666666667 1 5 Inf 5 1000 441 5
"19" "X" 0.06 -0.2475 0 1 0.5 2666.66666666667 1 5 Inf 5 1000 427 5
"20" "X" 0.006 -0.70125 0 1 1 2666.66666666667 1 5 Inf 5 1000 372 5
"21" "X" 0.06 -0.61875 0 1 1 2666.66666666667 1 5 Inf 5 1000 464 5
"22" "X" 0.06 -0.99 0 1 1 2666.66666666667 1 5 Inf 5 1000 500 5
"23" "X" 0.06 -0.86625 0 1 0 2666.66666666667 1 5 Inf 5 1000 486 5
"24" "X" 0.06 -0.9075 0 0 1 2666.66666666667 1 5 Inf 5 1000 489 5
"25" "X" 0.006 -0.0825 0 1 0 2666.66666666667 1 5 Inf 5 1000 310 5
"26" "X" 0.006 -0.37125 0 1 1 2666.66666666667 1 5 Inf 5 1000 340 5
"27" "X" 0.06 -0.86625 0 0 1 2666.66666666667 1 5 Inf 5 1000 485 5
"28" "X" 0.006 -0.45375 0 1 0.5 2666.66666666667 1 5 Inf 5 1000 347 5
"29" "X" 0.006 -0.86625 0 1 0.5 2666.66666666667 1 5 Inf 5 1000 387 5
