"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "Y" 0.02 -0.99 0 0 1 8000 1 5 Inf 5 1000 550 5
"2" "Y" 0.002 -0.2475 0 0 1 8000 1 5 Inf 5 1000 507 5
"3" "Y" 0.002 -0.86625 0 0 1 8000 1 5 Inf 5 1000 522 5
"4" "Y" 0.002 -0.20625 0 0 1 8000 1 5 Inf 5 1000 506 5
"5" "Y" 0.02 0 0 0 1 8000 1 5 Inf 5 1000 526 5
"6" "Y" 0.002 -0.165 0 0 1 8000 1 5 Inf 5 1000 505 5
"7" "Y" 0.002 -0.33 0 0 1 8000 1 5 Inf 5 1000 509 5
"8" "Y" 0.02 -0.495 0 0 1 8000 1 5 Inf 5 1000 538 5
"9" "Y" 0.02 -0.9075 0 0 1 8000 1 5 Inf 5 1000 548 5
"10" "Y" 0.02 -0.4125 0 0 1 8000 1 5 Inf 5 1000 536 5
"11" "Y" 0.02 -0.28875 0 0 1 8000 1 5 Inf 5 1000 533 5
"12" "Y" 0.002 -0.7425 0 0 1 8000 1 5 Inf 5 1000 519 5
"13" "Y" 0.002 -0.0825 0 0 1 8000 1 5 Inf 5 1000 503 5
"14" "Y" 0.02 -0.66 0 0 1 8000 1 5 Inf 5 1000 542 5
"15" "Y" 0.002 -0.78375 0 0 1 8000 1 5 Inf 5 1000 520 5
"16" "Y" 0.02 -0.61875 0 0 1 8000 1 5 Inf 5 1000 541 5
"17" "Y" 0.02 -0.20625 0 0 1 8000 1 5 Inf 5 1000 531 5
"18" "Y" 0.002 -0.99 0 0 1 8000 1 5 Inf 5 1000 525 5
"19" "Y" 0.02 -0.86625 0 0 1 8000 1 5 Inf 5 1000 547 5
"20" "Y" 0.002 -0.70125 0 0 1 8000 1 5 Inf 5 1000 518 5
"21" "Y" 0.02 -0.45375 0 0 1 8000 1 5 Inf 5 1000 537 5
"22" "Y" 0.002 -0.495 0 0 1 8000 1 5 Inf 5 1000 513 5
"23" "Y" 0.02 -0.33 0 0 1 8000 1 5 Inf 5 1000 534 5
"24" "Y" 0.002 -0.61875 0 0 1 8000 1 5 Inf 5 1000 516 5
"25" "Y" 0.002 0 0 0 1 8000 1 5 Inf 5 1000 501 5
"26" "Y" 0.02 -0.0825 0 0 1 8000 1 5 Inf 5 1000 528 5
"27" "Y" 0.02 -0.7425 0 0 1 8000 1 5 Inf 5 1000 544 5
"28" "Y" 0.002 -0.94875 0 0 1 8000 1 5 Inf 5 1000 524 5
"29" "Y" 0.002 -0.45375 0 0 1 8000 1 5 Inf 5 1000 512 5
"30" "Y" 0.02 -0.12375 0 0 1 8000 1 5 Inf 5 1000 529 5
"31" "Y" 0.02 -0.94875 0 0 1 8000 1 5 Inf 5 1000 549 5
"32" "Y" 0.002 -0.28875 0 0 1 8000 1 5 Inf 5 1000 508 5
"33" "Y" 0.002 -0.825 0 0 1 8000 1 5 Inf 5 1000 521 5
"34" "Y" 0.002 -0.12375 0 0 1 8000 1 5 Inf 5 1000 504 5
"35" "Y" 0.02 -0.04125 0 0 1 8000 1 5 Inf 5 1000 527 5
"36" "Y" 0.002 -0.4125 0 0 1 8000 1 5 Inf 5 1000 511 5
"37" "Y" 0.002 -0.66 0 0 1 8000 1 5 Inf 5 1000 517 5
"38" "Y" 0.02 -0.53625 0 0 1 8000 1 5 Inf 5 1000 539 5
"39" "Y" 0.02 -0.78375 0 0 1 8000 1 5 Inf 5 1000 545 5
"40" "Y" 0.02 -0.2475 0 0 1 8000 1 5 Inf 5 1000 532 5
"41" "Y" 0.002 -0.5775 0 0 1 8000 1 5 Inf 5 1000 515 5
"42" "Y" 0.02 -0.70125 0 0 1 8000 1 5 Inf 5 1000 543 5
"43" "Y" 0.02 -0.37125 0 0 1 8000 1 5 Inf 5 1000 535 5
"44" "Y" 0.002 -0.9075 0 0 1 8000 1 5 Inf 5 1000 523 5
"45" "Y" 0.02 -0.165 0 0 1 8000 1 5 Inf 5 1000 530 5
"46" "Y" 0.02 -0.5775 0 0 1 8000 1 5 Inf 5 1000 540 5
"47" "Y" 0.002 -0.37125 0 0 1 8000 1 5 Inf 5 1000 510 5
"48" "Y" 0.002 -0.04125 0 0 1 8000 1 5 Inf 5 1000 502 5
"49" "Y" 0.02 -0.825 0 0 1 8000 1 5 Inf 5 1000 546 5
"50" "Y" 0.002 -0.53625 0 0 1 8000 1 5 Inf 5 1000 514 5
