"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"1" "Z" 0.006 -0.7425 0 0 1 2666.66666666667 1 5 Inf 5 1000 625 5
"2" "Z" 0.06 -0.495 0 0 1 2666.66666666667 1 5 Inf 5 1000 701 5
"3" "Z" 0.06 -0.37125 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 688 5
"4" "Z" 0.06 -0.12375 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 664 5
"5" "Z" 0.06 -0.4125 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 692 5
"6" "Z" 0.06 -0.66 0 0 1 2666.66666666667 1 5 Inf 5 1000 717 5
"7" "Z" 0.06 -0.86625 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 736 5
"8" "Z" 0.006 -0.33 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 584 5
"9" "Z" 0.006 -0.53625 0 0 1 2666.66666666667 1 5 Inf 5 1000 605 5
"10" "Z" 0.006 -0.45375 0 0 0 2666.66666666667 1 5 Inf 5 1000 595 5
"11" "Z" 0.006 -0.495 0 1 1 2666.66666666667 1 5 Inf 5 1000 602 5
"12" "Z" 0.006 0 0 0 0 2666.66666666667 1 5 Inf 5 1000 551 5
"13" "Z" 0.06 -0.4125 0 0 1 2666.66666666667 1 5 Inf 5 1000 693 5
"14" "Z" 0.06 -0.495 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 700 5
"15" "Z" 0.06 -0.61875 0 0 1 2666.66666666667 1 5 Inf 5 1000 713 5
"16" "Z" 0.06 -0.9075 0 1 1 2666.66666666667 1 5 Inf 5 1000 742 5
"17" "Z" 0.06 -0.78375 0 0 1 2666.66666666667 1 5 Inf 5 1000 729 5
"18" "Z" 0.06 -0.33 0 1 1 2666.66666666667 1 5 Inf 5 1000 686 5
"19" "Z" 0.006 -0.66 0 0 1 2666.66666666667 1 5 Inf 5 1000 617 5
"20" "Z" 0.06 -0.20625 0 0 1 2666.66666666667 1 5 Inf 5 1000 673 5
"21" "Z" 0.006 -0.20625 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 572 5
"22" "Z" 0.006 0 0 0 1 2666.66666666667 1 5 Inf 5 1000 553 5
"23" "Z" 0.06 -0.0825 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 660 5
"24" "Z" 0.06 -0.45375 0 0 1 2666.66666666667 1 5 Inf 5 1000 697 5
"25" "Z" 0.06 -0.45375 0 0 0 2666.66666666667 1 5 Inf 5 1000 695 5
"26" "Z" 0.06 -0.53625 0 1 1 2666.66666666667 1 5 Inf 5 1000 706 5
"27" "Z" 0.006 -0.37125 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 588 5
"28" "Z" 0.006 -0.70125 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 620 5
"29" "Z" 0.006 -0.99 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 648 5
"30" "Z" 0.06 -0.70125 0 0 0 2666.66666666667 1 5 Inf 5 1000 719 5
"31" "Z" 0.06 -0.2475 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 676 5
"32" "Z" 0.006 -0.0825 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 560 5
"33" "Z" 0.06 -0.5775 0 0 0 2666.66666666667 1 5 Inf 5 1000 707 5
"34" "Z" 0.006 -0.9075 0 1 1 2666.66666666667 1 5 Inf 5 1000 642 5
"35" "Z" 0.06 -0.28875 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 680 5
"36" "Z" 0.06 -0.33 0 0 0 2666.66666666667 1 5 Inf 5 1000 683 5
"37" "Z" 0.06 -0.53625 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 704 5
"38" "Z" 0.006 -0.99 0 1 1 2666.66666666667 1 5 Inf 5 1000 650 5
"39" "Z" 0.006 -0.0825 0 0 0 2666.66666666667 1 5 Inf 5 1000 559 5
"40" "Z" 0.006 -0.70125 0 0 0 2666.66666666667 1 5 Inf 5 1000 619 5
"41" "Z" 0.006 -0.99 0 0 0 2666.66666666667 1 5 Inf 5 1000 647 5
"42" "Z" 0.006 -0.165 0 0 0.5 2666.66666666667 1 5 Inf 5 1000 568 5
